"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","34/574","92/23355",3.43208526917144e-31,1.10949956519761e-28,8.50631660014741e-29,"Rpl31/Dhx9/Eif2s2/Rpl39/Rpl11/Rpl22/Rpl9/Rplp0/Rpl6/Rpl13a/Rpl18/Eef2/Rps26/Rpl18a/Rpl15/Rplp1/Rpsa/Rpl26/Eif4a1/Rpl19/Rpl38/Rps23/Rps29/Rpl30/Rpl8/Gspt1/Rpl35a/Rpl24/Rps2/Rpl10a/Rps28/Rpl36/Rpl17/Eif3a",34
"GO:0090068","GO:0090068","positive regulation of cell cycle process","51/574","261/23355",4.94537712330866e-31,1.46548008754047e-28,1.12355497801486e-28,"Sgo2a/Hnrnpu/Dtl/Nusap1/Insm1/Ube2c/Ect2/Plk4/Cenpe/Anp32b/Sfpq/Rcc2/Dbf4/Cit/Anapc5/Ezh2/Mad2l1/Rad51ap1/Ccnd2/E2f8/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Cep295/Kif23/Phip/Egfr/Npm1/Cenpv/Rpl26/Aurkb/Spag5/Atad5/Cdk5r1/Rpl23/Brca1/Birc5/Sox4/Ccnb1/Rad21/Racgap1/Ranbp1/Ndc80/Cdc25c/Lmnb1/Rpl17/Cdca5/Fen1/Kif20b",51
"GO:0045787","GO:0045787","positive regulation of cell cycle","58/574","365/23355",3.9672598796159e-30,1.0851981639934e-27,8.320002500571e-28,"Sgo2a/Hnrnpu/Dtl/Nusap1/Insm1/Ube2c/Aurka/Ect2/Plk4/Psrc1/Cenpe/Eif4e/Anp32b/Sfpq/Rcc2/Dbf4/Cit/Anapc5/Hmgb1/Ezh2/Mad2l1/Rad51ap1/Ccnd2/E2f8/Rps15a/Ccnd1/Fbxo5/Cdk1/Ascl1/Cdk4/Tfdp1/Cep295/Kif23/Phip/Egfr/Npm1/Cenpv/Rpl26/Aurkb/Spag5/Atad5/Cdk5r1/Rpl23/Brca1/Birc5/Sox4/Ccnb1/Rad21/Racgap1/Ranbp1/Hsp90ab1/Ndc80/Cdc25c/Lmnb1/Rpl17/Cdca5/Fen1/Kif20b",58
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","63/574","453/23355",2.83734272312166e-29,7.20685051672901e-27,5.52535161871059e-27,"Hnrnpu/Cenpf/Dtl/Bub1b/Nusap1/Bub1/Ube2c/Cks1b/Cenpe/Eif4e/Anp32b/Cdk5rap2/Rps6/Clspn/Rpa2/Rcc2/Dbf4/Ywhah/Anapc5/Hmgb1/Rpa3/Ezh2/Mad2l1/Ccnd2/Blm/Wee1/Plk1/Bub3/Mki67/Ccnd1/Fbxo5/Cdk1/Ascl1/Cdk4/Tfdp1/Dlgap5/Bora/Tipin/Rps27l/Phip/Ttk/Topbp1/Egfr/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/Cks2/Trip13/Ccnb1/Rad21/Rpl24/Ndc80/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5/Kif20b",63
"GO:0071103","GO:0071103","DNA conformation change","44/574","239/23355",8.86915641408673e-26,2.10258134723283e-23,1.6120080780691e-23,"Hjurp/Mcm6/Dhx9/H3f3a/Set/Hat1/Rad51/Nusap1/Ncaph/Smc4/Smc2/Pole3/Nasp/Rbbp4/Hp1bp3/Ncapg/Mcm7/Hmgb1/Mcm2/Ncapd2/Trim28/Blm/Cdk1/Mbd3/Nap1l1/Smarca5/Ctcf/Top2b/Dnmt1/Smarca4/Ncapd3/Smarcc1/Npm1/Cenpv/Top2a/H3f3b/Cenpp/Ccnb1/Ncapg2/Chaf1a/Banf1/Cdca5/Incenp/Hells",44
"GO:0006260","GO:0006260","DNA replication","45/574","253/23355",1.1024994983152e-25,2.45030513500552e-23,1.87860111883971e-23,"Mcm3/Mcm6/Nucks1/Dhx9/Dtl/Ssrp1/Rad51/Pcna/Pola1/Ccna2/Pole3/Nfib/Nasp/Rbbp4/Rpa2/Cenps/Dbf4/Dnajc2/Mcm7/Rfc3/Rpa3/Mcm2/Lig1/E2f8/Blm/Rrm1/Fbxo5/Ddx21/Cdk1/Prim1/Mcm5/Nfix/Supt16/Esco2/Tipin/Pclaf/Topbp1/Egfr/Npm1/Atad5/Gmnn/Rrm2/Rfc4/Chaf1a/Fen1",45
"GO:0007051","GO:0007051","spindle organization","39/574","181/23355",1.23981813130369e-25,2.59340780877408e-23,1.98831514555825e-23,"Aspm/Nuf2/Hnrnpu/Nek2/Spc25/Knstrn/Tpx2/Aurka/Kif4/Smc1a/Psrc1/Cenpe/Cdc20/Nudc/Stmn1/Tacc3/Haus3/Prc1/Rps3/Plk1/Fbxo5/Dlgap5/Bora/Kif23/Ccnb2/Aurkb/Chd3/Spag5/Kpnb1/Cenph/Ccnb1/Racgap1/Ranbp1/Kifc1/Tubb5/Ndc80/Cep192/Incenp/Kif11",39
"GO:0006281","GO:0006281","DNA repair","60/574","489/23355",5.6945264926516e-25,1.12498534488162e-22,8.62504305027348e-23,"Mcm3/Mcm6/Nucks1/Ube2t/Dhx9/Parp1/Dtl/Ssrp1/Rad51/Pcna/Pola1/Nono/Smc1a/Actl6a/Smc4/Smc2/Usp1/Clspn/Sfpq/Rpa2/Kdm1a/Cenps/Nsd2/Mcm7/Hmgb1/Rfc3/Sem1/Rpa3/Mcm2/Rad18/Rad51ap1/Foxm1/Trim28/Lig1/Blm/Rps3/Kif22/Neil3/Mcm5/Top2b/Supt16/Esco2/Cdkn2d/Pclaf/Topbp1/Egfr/Npm1/Pttg1/Brca1/Dek/Trip13/Smc6/Rad21/Rfc4/Hmgn1/Chaf1a/Uhrf1/Rbbp8/Cdca5/Fen1",60
"GO:0008380","GO:0008380","RNA splicing","54/574","393/23355",6.1947386332495e-25,1.15939424104396e-22,8.8888493407846e-23,"Ncl/Snrpe/Dhx9/Hnrnpu/Hnrnpa3/Snrpb/Raly/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Elavl4/Ybx1/Sfpq/Khdrbs1/Dhx15/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpf/Hnrnpl/Snrpa1/Rps13/Dazap1/Snrpf/Rps26/Lsm4/Lsm6/Sf3b3/Thoc7/Rtraf/Syncrip/Npm1/Hnrnph1/C1qbp/Srsf2/Alyref/Hnrnpk/Pabpc1/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Tcerg1/Celf4",54
"GO:0042254","GO:0042254","ribosome biogenesis","47/574","294/23355",1.08263915396461e-24,1.92493241574908e-22,1.47580810987807e-22,"Rpl7/Nop58/Ncl/Rpl7a/Rpl35/Nop56/Exosc8/Gar1/Chd7/Rps6/Rps8/Rpl11/Mrpl20/Lyar/Rpl5/Rplp0/Rpl6/Ran/Rps5/Rps19/Fbl/Rps16/Rps17/Ddx21/Rps15/Pa2g4/Lsm6/Rps24/Rps25/Rps27l/Rpsa/Rpl14/Xpo1/Npm1/Nhp2/Rpl26/C1qbp/Rpl23a/Rpl27/Rpl38/Rps7/Rpl3/Rpl35a/Rpl24/Rps2/Rpl10a/Rps28",47
"GO:0051983","GO:0051983","regulation of chromosome segregation","28/574","84/23355",1.90323047002863e-24,3.08469691012486e-22,2.36497690995897e-22,"Hnrnpu/Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Kif2c/Rcc2/Tacc3/Cit/Anapc5/Mad2l1/Rad18/Plk1/Bub3/Mki67/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Smc6/Rad21/Ndc80/Cep192",28
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","37/574","171/23355",1.90841766093214e-24,3.08469691012486e-22,2.36497690995897e-22,"Snrpe/Dhx9/Snrpb/Eif2s2/Rbmx/Ptbp2/Psip1/Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Snrpg/Rps5/Rps19/Rpl13a/Rps15/Snrpf/Ptges3/Lsm4/Nudt21/Rps25/Rps27l/Rpsa/Rpl23a/Rpl38/Hsp90aa1/Rpl3/Rpl24/Rps2/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",37
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","45/574","271/23355",2.17007543326356e-24,3.35512532203705e-22,2.57230909480669e-22,"Cenpf/Dtl/Bub1b/Bub1/Ube2c/Cenpe/Anp32b/Cdk5rap2/Clspn/Rpa2/Rcc2/Dbf4/Anapc5/Ezh2/Mad2l1/Ccnd2/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Rps27l/Ttk/Topbp1/Egfr/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Ndc80/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5",45
"GO:0033044","GO:0033044","regulation of chromosome organization","46/574","288/23355",3.59144639893569e-24,5.32132641442305e-22,4.07975709352783e-22,"Sgo2a/Hnrnpu/Parp1/H3f3a/Nek2/Bub1b/Bub1/Ube2c/Cct3/Cenpe/Cdk5rap2/Sfpq/Kdm1a/Tacc3/Hnrnpd/Cit/Anapc5/Mad2l1/Cct7/Mcm2/Trim28/Plk1/Bub3/Fbxo5/Cct2/Gnl3/Dnmt1/Ttk/Cct4/Spdl1/Pttg1/Cenpv/Aurkb/Top2a/Brca1/H3f3b/Birc5/Trip13/Ccnb1/Cct5/Rad21/Tcp1/Ndc80/Cep192/Cdca5/Fen1",46
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","47/574","305/23355",5.50555287662769e-24,7.83109841171522e-22,6.00395029493293e-22,"Cenpf/Dtl/Bub1b/Bub1/Ube2c/Cenpe/Anp32b/Cdk5rap2/Clspn/Rpa2/Rcc2/Dbf4/Anapc5/Ezh2/Mad2l1/Ccnd2/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Cdkn2d/Rps27l/Ttk/Topbp1/Egfr/Npm1/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Ndc80/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5",47
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","37/574","178/23355",8.58476567911323e-24,1.165140759582e-21,8.93290677673725e-22,"Snrpe/Dhx9/Snrpb/Eif2s2/Rbmx/Ptbp2/Psip1/Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Snrpg/Rps5/Rps19/Rpl13a/Rps15/Snrpf/Ptges3/Lsm4/Nudt21/Rps25/Rps27l/Rpsa/Rpl23a/Rpl38/Hsp90aa1/Rpl3/Rpl24/Rps2/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",37
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","34/574","145/23355",8.84668180784983e-24,1.165140759582e-21,8.93290677673725e-22,"Nuf2/Hnrnpu/Nek2/Sapcd2/Spc25/Nusap1/Tpx2/Aurka/Kif4/Smc1a/Psrc1/Cenpe/Cdk5rap2/Cdc20/Nudc/Stmn1/Cenpa/Tacc3/Mad2l1/Prc1/Plk1/Dlgap5/Bora/Kif23/Spdl1/Aurkb/Kpnb1/Cenph/Ccnb1/Racgap1/Kifc1/Ndc80/Cep192/Kif11",34
"GO:0006323","GO:0006323","DNA packaging","38/574","197/23355",3.58466477767589e-23,4.55252426764838e-21,3.49033149405284e-21,"Hjurp/H3f3a/Set/Hat1/Nusap1/Ncaph/Smc4/Smc2/Pole3/Nasp/Rbbp4/Hp1bp3/Ncapg/Hmgb1/Mcm2/Ncapd2/Trim28/Cdk1/Mbd3/Nap1l1/Smarca5/Ctcf/Dnmt1/Smarca4/Ncapd3/Smarcc1/Npm1/Cenpv/Top2a/H3f3b/Cenpp/Ccnb1/Ncapg2/Chaf1a/Banf1/Cdca5/Incenp/Hells",38
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","39/574","213/23355",6.97026842926182e-23,8.54699121877759e-21,6.55281133640222e-21,"Mcm3/Ptma/Hjurp/Mcm6/H3f3a/Set/Hat1/Rad51/Anp32e/Cenpe/Pole3/Nasp/Rbbp4/Hp1bp3/Cenps/Cenpa/Cenpc1/Mcm7/Mcm2/Cenpw/Nap1l1/Mcm5/Smarca5/Ctcf/Dlgap5/Supt16/Smarca4/Smarcc1/Npm1/Cenpv/Rpl23/Smarce1/H3f3b/Cenpp/Cenph/Cenpk/Smarcd1/Chaf1a/Hells",39
"GO:0010948","GO:0010948","negative regulation of cell cycle process","39/574","230/23355",1.26643956112352e-21,1.50115302645174e-19,1.15090472396839e-19,"Dtl/Nek2/Bub1b/Bub1/Cenpe/Cdk5rap2/Clspn/Rpa2/Ezh2/Mad2l1/E2f8/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Cdkn2d/Rps27l/Ttk/Topbp1/Npm1/Spdl1/Pttg1/Rpl26/Aurkb/Haspin/Rpl23/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Kifc1/Hsp90ab1/Ndc80/Cep192",39
"GO:0051304","GO:0051304","chromosome separation","27/574","95/23355",1.54221946765543e-21,1.76907497644604e-19,1.35631525338797e-19,"Bub1b/Ncaph/Bub1/Ube2c/Cenpe/Cdk5rap2/Cenps/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Top2b/Ncapd3/Ttk/Spdl1/Pttg1/Aurkb/Top2a/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",27
"GO:0006397","GO:0006397","mRNA processing","54/574","466/23355",2.22295039914952e-21,2.4702536310549e-19,1.89389524138067e-19,"Ncl/Snrpe/Dhx9/Hnrnpu/Hnrnpa3/Snrpb/Raly/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Elavl4/Ybx1/Sfpq/Khdrbs1/Slbp/Dhx15/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpf/Hnrnpl/Snrpa1/Dazap1/Snrpf/Lsm4/Lsm6/Nudt21/Sf3b3/Thoc7/Syncrip/Npm1/Hnrnph1/C1qbp/Srsf2/Alyref/Hnrnpk/Ccnb1/Pabpc1/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Tcerg1/Celf4",54
"GO:0045786","GO:0045786","negative regulation of cell cycle","53/574","452/23355",3.08885362187725e-21,3.328473781635e-19,2.55187587899906e-19,"Dtl/Nek2/Bub1b/Bub1/Insm1/Aurka/Cenpe/Cdk5rap2/Rps6/Cdkn2c/Clspn/Rpa2/Cdk6/Ppm1g/Ezh2/Mad2l1/Foxm1/E2f8/Blm/Wee1/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Casp3/Cdkn2d/Tipin/Rps27l/Ttk/Topbp1/Egfr/Npm1/Spdl1/Pttg1/Rpl26/Aurkb/Haspin/Cdk5r1/Rpl23/Brca1/Birc5/Gmnn/Sox4/Trip13/Ccnb1/Rad21/Rpl24/Kifc1/Hsp90ab1/Ndc80/Cep192",53
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","23/574","67/23355",1.20334520287393e-20,1.25855751218226e-18,9.64911478465473e-19,"Hnrnpu/Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",23
"GO:0034502","GO:0034502","protein localization to chromosome","26/574","93/23355",1.38038225371458e-20,1.40246836977401e-18,1.07524512394609e-18,"Bub1b/Knl1/Cct3/Rpa2/Rcc2/Cenpa/Ezh2/Cct7/Plk1/Bub3/Cdk1/Cct2/Ctcf/Gnl3/Esco2/Ttk/Cct4/Spdl1/Aurkb/Haspin/Cct5/Rad21/Tcp1/Cenpq/Ndc80/Cdca5",26
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","22/574","60/23355",1.55659698978539e-20,1.53757191546579e-18,1.17882637530531e-18,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",22
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint","29/574","125/23355",2.50808811772502e-20,2.41047603962977e-18,1.84806492885001e-18,"Bub1b/Bub1/Cenpe/Cdk5rap2/Rps6/Clspn/Rpa2/Mad2l1/Blm/Wee1/Plk1/Bub3/Ccnd1/Cdk1/Tipin/Rps27l/Ttk/Topbp1/Spdl1/Rpl26/Aurkb/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rpl24/Ndc80/Cep192",29
"GO:0051306","GO:0051306","mitotic sister chromatid separation","22/574","63/23355",5.41394157027157e-20,5.0663095326015e-18,3.88424062797877e-18,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",22
"GO:0007052","GO:0007052","mitotic spindle organization","28/574","118/23355",5.91390311351488e-20,5.39226653119459e-18,4.13414549635723e-18,"Nuf2/Hnrnpu/Nek2/Spc25/Tpx2/Aurka/Kif4/Smc1a/Psrc1/Cenpe/Cdc20/Nudc/Stmn1/Tacc3/Prc1/Plk1/Dlgap5/Bora/Kif23/Aurkb/Kpnb1/Cenph/Ccnb1/Racgap1/Kifc1/Ndc80/Cep192/Kif11",28
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","19/574","44/23355",1.56058080812715e-19,1.38735633842504e-17,1.06365902448666e-17,"Hnrnpu/Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",19
