"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003013","GO:0003013","circulatory system process","37/453","452/16051",6.6420292648112e-09,2.52915763012584e-06,1.80599544495799e-06,"Atp1b1/Atp1a2/Gnas/Slc16a2/Wwtr1/S100a1/Atp1a1/Gclm/Ddah1/Camk2n1/Hopx/Apoe/Fxyd1/Gja1/Lrp1/Slc27a1/Gnao1/Cyba/Fermt2/Ednrb/Gnai2/Thra/Id2/Emp2/Cbs/Nr3c1/Kcnn2/Add3/Camk2d/Dmd/Col1a2/Abr/Gsn/Rarres2/Tgfb2/Ctnnbip1/Klf2",37
"GO:0009611","GO:0009611","response to wounding","35/453","412/16051",6.69975531159163e-09,2.52915763012584e-06,1.80599544495799e-06,"Dst/Bcl2/Entpd2/Slc1a2/Sdc4/Gnas/Syt11/Notch2/F3/Klf4/Tnc/Jun/Plpp3/Ptn/Cd9/Apoe/Zfp36/Rgma/Gja1/Lrp1/Fermt2/Neo1/Gfap/Zfp36l1/Slc1a3/Zfp36l2/Neat1/Ptprf/Pdpn/Ntrk3/Celsr1/Tgfb2/Slc7a11/Serpine2/Nfe2l2",35
"GO:0031102","GO:0031102","neuron projection regeneration","13/453","60/16051",9.37333284710036e-09,3.26624598441266e-06,2.33232808414084e-06,"Bcl2/Klf4/Tnc/Jun/Ptn/Rgma/Lrp1/Neo1/Gfap/Hgf/Ptprf/Ntrk3/Prrx1",13
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","28/453","285/16051",1.02000268831671e-08,3.30043727005334e-06,2.35674305353176e-06,"Sirpa/Notch2/Klf4/Jun/Camk2n1/Apoe/Cavin3/Timp3/Lrp1/Mt3/Fermt2/Ndrg2/Ephb1/Gnai2/Sox9/Slc9a3r1/Zfp36l1/Zfp36l2/Nrxn1/Pdgfrb/Camk2d/Tpbg/Dusp1/Chil1/Phlpp1/Fgfr2/Dmd/Ntsr2",28
"GO:0048713","GO:0048713","regulation of oligodendrocyte differentiation","12/453","51/16051",1.29207495789245e-08,3.9020663728352e-06,2.78634831270421e-06,"Ptpra/Hes5/Ptprz1/Ptn/Dag1/Id4/Id2/Hes1/Qk/Daam2/Tcf7l2/Sirt2",12
"GO:0048710","GO:0048710","regulation of astrocyte differentiation","10/453","33/16051",1.50190367525002e-08,4.25226478055163e-06,3.03641446976534e-06,"Dab1/Hes5/Nr2e1/Id4/Id2/Hes1/Nr1d1/Il6st/Ntrk3/Serpine2",10
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","30/453","331/16051",1.94190305795156e-08,5.17460050148269e-06,3.69502668550164e-06,"Glul/Sox2/Notch2/F3/Jun/Hes5/Ptn/Apoe/Zfp36/Htra1/Gja1/Sfrp1/Fgfr1/Cyba/Rgcc/Ednrb/Sparc/Sox9/Ctsl/Thbs4/Zfp36l1/Hes1/Klf9/Tcf7l2/Nr1d1/Fgfr2/Zfp703/Mcc/Tgfb2/Nr4a1",30
"GO:0045686","GO:0045686","negative regulation of glial cell differentiation","10/453","34/16051",2.07448380982482e-08,5.22078425472579e-06,3.72800511555068e-06,"Dab1/Hes5/Nr2e1/Id4/Id2/Hes1/Daam2/Nr1d1/Sirt2/Ntrk3",10
"GO:0031589","GO:0031589","cell-substrate adhesion","30/453","333/16051",2.22696195022011e-08,5.30954612341954e-06,3.79138729807557e-06,"Bcl2/Sirpa/Ptpra/Sdc4/Gpm6b/Bcan/Vcam1/Limch1/Ptprz1/Ptn/Ttyh1/Lrp1/Cd63/Sfrp1/Calr/Fam107a/Vcl/Fermt2/Ephb1/Dag1/Cspg5/Atp1b2/Emp2/Ccdc80/Vit/Sorbs1/Rsu1/Itgb5/Pdpn/Dmd",30
"GO:0045444","GO:0045444","fat cell differentiation","24/453","232/16051",4.38738584481946e-08,9.93742893851608e-06,7.09601931638432e-06,"Cebpb/Foxo1/Wwtr1/Klf4/Zfp36/Sfrp1/Fermt2/Rora/Id4/Id2/Zfp36l1/Aldh6a1/Dio2/Ttc8/Hes1/Zfp36l2/Tcf7l2/Nr1d1/Sirt2/Cebpd/Sort1/Rarres2/Ap1s2/Nr4a1",24
"GO:0048709","GO:0048709","oligodendrocyte differentiation","16/453","109/16051",6.67703086487162e-08,1.36416311345216e-05,9.74107876760426e-06,"Kcnj10/Ptpra/Hes5/Ptprz1/Ptn/Clu/Dag1/Sox9/Id4/Ntrk2/Id2/Hes1/Qk/Daam2/Tcf7l2/Sirt2",16
"GO:0043491","GO:0043491","protein kinase B signaling","21/453","186/16051",6.89821386371728e-08,1.36416311345216e-05,9.74107876760426e-06,"Lmbrd1/Igfbp5/F3/Klf4/Cavin3/Fgfr1/Fermt2/Sesn3/Dag1/Tmem100/Sox9/Slc9a3r1/Ntrk2/Zfp36l1/Nrxn1/Tcf7l2/Tpbg/Chil1/Sirt2/Phlpp1/Ntrk3",21
"GO:0014014","GO:0014014","negative regulation of gliogenesis","11/453","48/16051",7.05988570022123e-08,1.36416311345216e-05,9.74107876760426e-06,"Dab1/Hes5/Ptn/Nr2e1/Id4/Id2/Hes1/Daam2/Nr1d1/Sirt2/Ntrk3",11
"GO:0031099","GO:0031099","regeneration","18/453","139/16051",7.38291469543544e-08,1.36416311345216e-05,9.74107876760426e-06,"Bcl2/Cebpb/Klf4/Tnc/Jun/Hopx/Ptn/Cd9/Rgma/Cd81/Gja1/Lrp1/Neo1/Gfap/Hgf/Ptprf/Ntrk3/Prrx1",18
"GO:0050767","GO:0050767","regulation of neurogenesis","33/453","412/16051",7.52849400359913e-08,1.36416311345216e-05,9.74107876760426e-06,"Vim/Lrp4/Ptpra/Sox2/Dab1/Hes5/Ptprz1/Ptn/Bhlhe40/Apoe/Rgma/Nr2e1/Lrp1/Mt3/Dag1/Gfap/Id4/Ntrk2/Id2/Hes1/Qk/Daam2/Nr1d1/Sirt2/Il6st/Ptprf/Plxnb1/Sorl1/Bhlhe41/Ntrk3/Sema6d/Serpine2/Fezf2",33
"GO:0071396","GO:0071396","cellular response to lipid","32/453","393/16051",8.17426947384378e-08,1.4242092583274e-05,1.01698502401303e-05,"Atp1a2/Vim/Sirpa/Cebpb/Ogt/Atp1a1/Abca1/Id3/Epha5/Mgst1/Zfp36/Selenos/Sash1/Sfrp1/Calr/Fam107a/Clu/Rora/Sox9/Ntrk2/Zfp36l1/Mlc1/Crebrf/Zfp36l2/Nr3c1/Rorb/Klf9/Pdcd4/Cry2/Nr1d1/Zfp703/Ddit4",32
"GO:1901214","GO:1901214","regulation of neuron death","30/453","355/16051",9.31942390923815e-08,1.56359223366107e-05,1.11651421727442e-05,"Bcl2/Btg2/Prnp/Chmp4b/Cebpb/Gclm/Jun/Ppt1/Pink1/Ptprz1/Apoe/Lrp1/Mt3/Mt1/Clu/Neo1/Ephb1/Ntrk2/Fos/Nrbp2/Nr3c1/Egln3/Cntfr/Ppp2r2b/Ptprf/Sorl1/Retreg1/Tgfb2/Slc7a11/Ddit4",30
"GO:0016042","GO:0016042","lipid catabolic process","25/453","262/16051",1.12556484620759e-07,1.82100312618585e-05,1.30032359864508e-05,"Acadl/Plcd4/Dbi/Prdx6/Scp2/Ppt1/Naaa/Mgll/Apoe/Crtc3/Smpdl3a/Psap/Lrp1/Mt3/Abhd4/Gm2a/Thra/Acox1/Pla2g7/Acaa2/Plce1/Sirt2/Sorl1/Rarres2/Apoc1",25
"GO:0032870","GO:0032870","cellular response to hormone stimulus","33/453","427/16051",1.73786907654107e-07,2.7146713505969e-05,1.93846521677339e-05,"Lmbrd1/Atp1a2/Ptpra/Gnas/Ogt/Car2/Foxo1/Atp1a1/Epha5/Zfp36/Sfrp1/Slc27a1/Calr/Mt3/Fam107a/Sesn3/Gnai2/Thra/Socs3/Ntrk2/Zfp36l1/Crebrf/Zfp36l2/Nr3c1/Klf9/Sorbs1/Cry2/Nr1d1/Ptprf/Sorl1/Rarres2/Ddit4/Nr4a1",33
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","25/453","269/16051",1.87145561593831e-07,2.82589798006685e-05,2.01788880974682e-05,"Sirpa/Notch2/Klf4/Jun/Camk2n1/Apoe/Cavin3/Timp3/Lrp1/Mt3/Fermt2/Ndrg2/Ephb1/Gnai2/Slc9a3r1/Nrxn1/Pdgfrb/Camk2d/Tpbg/Dusp1/Chil1/Phlpp1/Fgfr2/Dmd/Ntsr2",25
"GO:0045598","GO:0045598","regulation of fat cell differentiation","17/453","133/16051",2.06203333039531e-07,3.0132293505454e-05,2.15165651079958e-05,"Cebpb/Foxo1/Wwtr1/Zfp36/Sfrp1/Fermt2/Rora/Id4/Id2/Zfp36l1/Hes1/Zfp36l2/Tcf7l2/Nr1d1/Sirt2/Sort1/Rarres2",17
"GO:0008544","GO:0008544","epidermis development","24/453","255/16051",2.61179654120282e-07,3.69732447864025e-05,2.64014827997246e-05,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Klf4/Hes5/Zfp36/Psap/Fgfr1/Tnfrsf19/Myo6/Sox9/Slc9a3r1/Ctsl/Zfp36l1/Trps1/Hes1/Fgfr2/Celsr1/Tgfb2/Tfap2c/Maff/Txnip",24
"GO:0022612","GO:0022612","gland morphogenesis","17/453","137/16051",3.17836559381574e-07,4.31853112282955e-05,3.08373327302317e-05,"Igfbp5/Bcl2/Cebpb/Notch2/Tnc/Ptn/Sfrp1/Fgfr1/Dag1/Sox9/Slc9a3r1/Id4/Nr3c1/Csmd1/Hgf/Fgfr2/Tfap2c",17
"GO:0010959","GO:0010959","regulation of metal ion transport","24/453","258/16051",3.24128163744381e-07,4.31853112282955e-05,3.08373327302317e-05,"Bcl2/Dbi/Atp1b1/Atp1a2/Prnp/S100a1/Gem/Adcyap1r1/Fxyd1/Gja1/Saraf/Gnao1/Cyba/Gnai2/Atp1b2/Hspa2/Tmbim6/Hes1/Pdgfrb/Camk2d/Dmd/Pacsin3/Tgfb2/Usp2",24
"GO:0048732","GO:0048732","gland development","30/453","377/16051",3.43876348347397e-07,4.45074245146773e-05,3.17814140893699e-05,"Igfbp5/Bcl2/Cebpb/Sox2/Notch2/Tnc/Jun/Ptn/Gja1/Psap/Sfrp1/Fgfr1/Dag1/Thra/Sox9/Slc9a3r1/Id4/Id2/Arhgap5/Hes1/Nr3c1/Pdgfrb/Tcf7l2/Csmd1/Hgf/Fgfr2/Zfp703/Serpine2/Tfap2c/Meg3",30
"GO:0036376","GO:0036376","sodium ion export across plasma membrane","6/453","12/16051",3.91119671355764e-07,4.87421643277948e-05,3.48053145066372e-05,"Atp1b1/Atp1a2/Atp1a1/Slc4a4/Fxyd1/Atp1b2",6
"GO:0033002","GO:0033002","muscle cell proliferation","22/453","224/16051",3.98114807975366e-07,4.87421643277948e-05,3.48053145066372e-05,"Igfbp5/Kcnk2/S1pr1/Klf4/Jun/Hes5/Gja1/Fgfr1/Cyba/Ndrg2/Ephb1/Gnai2/Id2/Pdgfrb/Pdcd4/Tcf7l2/Camk2d/Adamts1/Fgfr2/Tgfb2/Ctnnbip1/Rgs5",22
"GO:0071456","GO:0071456","cellular response to hypoxia","14/453","95/16051",4.21956231842137e-07,5.01578145324981e-05,3.58161877677162e-05,"Bcl2/Kcnk2/Ogt/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Egln3/Sirt2/Nfe2l2",14
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","18/453","156/16051",4.3182224431952e-07,5.01578145324981e-05,3.58161877677162e-05,"Prex2/Plcd4/Ogt/Klf4/Sox9/Slc9a3r1/Ntrk2/Zfp36l1/Pdgfrb/Plce1/Hgf/Pik3ip1/Sirt2/Plxnb1/Ntrk3/Gsn/Tgfb2/Serpine2",18
"GO:0032922","GO:0032922","circadian regulation of gene expression","12/453","69/16051",4.52787110307016e-07,5.12781402422695e-05,3.66161786835121e-05,"Ogt/Id3/Per3/Bhlhe40/Cavin3/Rora/Id4/Id2/Cry2/Nr1d1/Bhlhe41/Usp2",12
"GO:0008015","GO:0008015","blood circulation","32/453","427/16051",5.3275736678116e-07,5.78372579103464e-05,4.12998474633425e-05,"Atp1b1/Atp1a2/Gnas/S100a1/Atp1a1/Gclm/Ddah1/Camk2n1/Hopx/Apoe/Fxyd1/Gja1/Gnao1/Cyba/Fermt2/Ednrb/Thra/Id2/Emp2/Cbs/Nr3c1/Kcnn2/Add3/Camk2d/Dmd/Col1a2/Abr/Gsn/Rarres2/Tgfb2/Ctnnbip1/Klf2",32
"GO:0061351","GO:0061351","neural precursor cell proliferation","19/453","175/16051",5.3623947731447e-07,5.78372579103464e-05,4.12998474633425e-05,"Btg2/Slc16a2/Sox2/Foxo1/Ptprz1/Ptn/Nr2e1/Fgfr1/Rora/Ephb1/Gnai2/Acsl6/Id4/Id2/Kif1a/Sirt2/Rsu1/Fgfr2/Fabp7",19
"GO:0048017","GO:0048017","inositol lipid-mediated signaling","18/453","159/16051",5.74265262166425e-07,6.0498177618928e-05,4.31999302481621e-05,"Prex2/Plcd4/Ogt/Klf4/Sox9/Slc9a3r1/Ntrk2/Zfp36l1/Pdgfrb/Plce1/Hgf/Pik3ip1/Sirt2/Plxnb1/Ntrk3/Gsn/Tgfb2/Serpine2",18
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","23/453","248/16051",6.02593762592314e-07,6.2039766921436e-05,4.43007328336407e-05,"Bcl2/Prdx6/Sirpa/Ogt/Foxo1/Ddah1/Klf4/Prdx1/Pink1/Aldh2/Selenos/Cyba/Clu/Rora/Gnai2/Acox1/Cbs/Pdgfrb/Clcn3/Sirt2/Nfe2l2/Ddit4/Klf2",23
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","34/453","475/16051",6.74779319082202e-07,6.79277847876083e-05,4.85051894161311e-05,"Lmbrd1/Igfbp5/Vim/Slc1a2/Ptpra/Prnp/Cebpb/Gnas/Ogt/Car2/Foxo1/Vcam1/Gabrb1/Gja1/Lrp1/Sfrp1/Slc27a1/Gnao1/Sesn3/Gnai2/Sox9/Slc9a3r1/Socs3/Ntrk2/Zfp36l1/Slc1a3/Impact/Sorbs1/Sirt2/Ptprf/Sorl1/Col1a2/Rarres2/Nr4a1",34
"GO:0071453","GO:0071453","cellular response to oxygen levels","15/453","114/16051",7.35767517877367e-07,7.24571055648799e-05,5.17394412457014e-05,"Bcl2/Kcnk2/Ogt/Foxo1/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Egln3/Sirt2/Nfe2l2",15
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","18/453","162/16051",7.58240896358101e-07,7.30815161808978e-05,5.21853140987334e-05,"Igfbp5/S1pr1/Klf4/Jun/Hes5/Gja1/Cyba/Ndrg2/Gnai2/Id2/Pdgfrb/Pdcd4/Tcf7l2/Camk2d/Adamts1/Fgfr2/Ctnnbip1/Rgs5",18
"GO:0002009","GO:0002009","morphogenesis of an epithelium","35/453","500/16051",7.74921319828314e-07,7.31331995587971e-05,5.22222196454476e-05,"Igfbp5/Bcl2/Sdc4/Car2/Sox2/Notch2/Klf4/Tnc/Hes5/Rgma/Gja1/Sfrp1/Fgfr1/Vcl/Fermt2/Pcdh8/Dag1/Fzd2/Sox9/Slc9a3r1/Socs3/Id4/Ctsl/Ttc8/Hes1/Nr3c1/Csmd1/Hgf/Pdpn/Fgfr2/Celsr1/Tgfb2/Ctnnbip1/Rhob/Tfap2c",35
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","14/453","100/16051",8.02119907017732e-07,7.41551669140882e-05,5.29519758166593e-05,"Bcl2/Kcnk2/Ogt/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Egln3/Sirt2/Nfe2l2",14
"GO:0070997","GO:0070997","neuron death","30/453","394/16051",8.73458804431707e-07,7.91353676815127e-05,5.65081874951292e-05,"Bcl2/Btg2/Prnp/Chmp4b/Cebpb/Gclm/Jun/Ppt1/Pink1/Ptprz1/Apoe/Lrp1/Mt3/Mt1/Clu/Neo1/Ephb1/Ntrk2/Fos/Nrbp2/Nr3c1/Egln3/Cntfr/Ppp2r2b/Ptprf/Sorl1/Retreg1/Tgfb2/Slc7a11/Ddit4",30
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","34/453","481/16051",8.97985392890592e-07,7.97622319567526e-05,5.69558124324621e-05,"Lmbrd1/Bcl2/Sirpa/Prnp/Foxo1/Klf4/Pink1/Camk2n1/Apoe/Selenos/Crtc3/Cavin3/Timp3/Sfrp1/Ndrg2/Clu/Sesn3/Rora/Dag1/Slc9a3r1/Timp2/Cmya5/Tmbim6/Nr1d1/Pik3ip1/Dusp1/Phlpp1/Pttg1ip/Sorl1/Dmd/Tgfb2/Serpine2/Nfe2l2/Ddit4",34
"GO:0070482","GO:0070482","response to oxygen levels","21/453","217/16051",9.32303292510853e-07,8.12179599052724e-05,5.79953040057864e-05,"Bcl2/Atp1b1/Kcnk2/Ogt/Foxo1/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Camk2d/Egln3/Camk2g/Sirt2/Pdpn/Tgfb2/Nfe2l2/Ddit4",21
"GO:0019216","GO:0019216","regulation of lipid metabolic process","26/453","314/16051",1.000872916245e-06,8.55463077469787e-05,6.10860471026991e-05,"Acadl/Acsl3/Dbi/Ppp2r5a/Mid1ip1/Atp1a1/Scp2/Apoe/Crtc3/Dkk3/Cd81/Psap/Slc27a1/Rora/Thra/Sox9/Id2/Nr3c1/Pdgfrb/Sorbs1/Tcf7l2/Nr1d1/Pik3ip1/Sorl1/Rarres2/Apoc1",26
"GO:0070570","GO:0070570","regulation of neuron projection regeneration","9/453","39/16051",1.0474596850926e-06,8.7870229138324e-05,6.27454895183152e-05,"Klf4/Ptn/Rgma/Lrp1/Neo1/Hgf/Ptprf/Ntrk3/Prrx1",9
"GO:0048659","GO:0048659","smooth muscle cell proliferation","18/453","166/16051",1.08667498066227e-06,8.95025029527289e-05,6.39110471880414e-05,"Igfbp5/S1pr1/Klf4/Jun/Hes5/Gja1/Cyba/Ndrg2/Gnai2/Id2/Pdgfrb/Pdcd4/Tcf7l2/Camk2d/Adamts1/Fgfr2/Ctnnbip1/Rgs5",18
"GO:0071276","GO:0071276","cellular response to cadmium ion","7/453","21/16051",1.12367112753215e-06,9.08969679950118e-05,6.49067927613969e-05,"Sox2/Jun/Mt3/Mt2/Mt1/Fos/Gsn",7
"GO:0031103","GO:0031103","axon regeneration","10/453","51/16051",1.31517800109637e-06,0.000104522041139765,7.46360479661895e-05,"Bcl2/Klf4/Tnc/Jun/Ptn/Rgma/Lrp1/Neo1/Ptprf/Ntrk3",10
"GO:0071407","GO:0071407","cellular response to organic cyclic compound","30/453","405/16051",1.54552744181833e-06,0.000120711022610983,8.61961130436972e-05,"Igfbp5/Atp1a2/Slc1a2/Gnas/Atp1a1/Id3/Gabrb1/Epha5/Zfp36/Sfrp1/Calr/Gnao1/Fam107a/Clu/Rora/Slc9a3r1/Ntrk2/Zfp36l1/Slc1a3/Mlc1/Crebrf/Zfp36l2/Impact/Nr3c1/Klf9/Cry2/Sirt2/Zfp703/Ddit4/Tiparp",30
"GO:0050808","GO:0050808","synapse organization","33/453","472/16051",1.65997661336989e-06,0.000125224157885818,8.94188072924637e-05,"Lrp4/Prnp/Chmp4b/Bcan/Tnc/Epha5/Sparcl1/Ptn/Apoe/Chchd10/Gpm6a/Ndrg2/Pcdh8/Myo6/Ephb1/Dag1/Sparc/Ntrk2/Ctnnd2/Nrxn1/Malat1/Nrxn2/Sorbs1/Ncan/Kif1a/Clstn1/Tpbg/Ptprf/Plxnb1/Fgfr2/Sybu/Ntrk3/Slc7a11",33
"GO:0009069","GO:0009069","serine family amino acid metabolic process","8/453","31/16051",1.6862414196545e-06,0.000125224157885818,8.94188072924637e-05,"Phgdh/Gclm/Psph/Tst/Cbs/Psat1/Gldc/Slc7a11",8
"GO:0046686","GO:0046686","response to cadmium ion","8/453","31/16051",1.6862414196545e-06,0.000125224157885818,8.94188072924637e-05,"Prnp/Sox2/Jun/Mt3/Mt2/Mt1/Fos/Gsn",8
"GO:0045664","GO:0045664","regulation of neuron differentiation","20/453","207/16051",1.73574344917428e-06,0.000126821255238057,9.05592465078536e-05,"Bcl2/Sox2/Dab1/Hes5/Mmd2/Nr2e1/Sfrp1/Fgfr1/Calr/Ednrb/Fez1/Sox9/Timp2/Id4/Id2/Hes1/Impact/Gprc5b/Dmd/Fezf2",20
"GO:0010817","GO:0010817","regulation of hormone levels","31/453","430/16051",1.82717583901359e-06,0.000131382643662406,9.3816396880347e-05,"Glul/Gnas/Pcsk1n/Slc16a2/Atp1a1/Scp2/Camk2n1/Epha5/Slco1c1/Dkk3/Gja1/Lrp1/Sfrp1/Fgfr1/Cpe/Glud1/Ctsb/Selenom/Ctsl/Dio2/Gabbr1/Nrxn1/Nr3c1/Tcf7l2/Cry2/Sidt2/Nr1d1/Bmpr1b/Sybu/Tiparp/Rbp1",31
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","20/453","208/16051",1.87115627788473e-06,0.000132442780294028,9.45734085845355e-05,"Bcl2/Ptpra/Sdc4/Gpm6b/Limch1/Ptprz1/Ptn/Lrp1/Calr/Fam107a/Vcl/Fermt2/Dag1/Cspg5/Emp2/Ccdc80/Vit/Rsu1/Pdpn/Dmd",20
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process","17/453","156/16051",2.01527116407833e-06,0.000138378394627652,9.88118523738296e-05,"Acadl/Slc1a2/Slc16a2/Gstm5/Gstm1/Gclm/Mgst1/Slco1c1/Slc27a1/Ctsb/Gsta4/Ctsl/Dio2/Glo1/Aldh1l1/Slc7a11/Nfe2l2",17
"GO:0010976","GO:0010976","positive regulation of neuron projection development","20/453","209/16051",2.01610906080023e-06,0.000138378394627652,9.88118523738296e-05,"Ptprz1/Ptn/Apoe/Rgma/Lrp1/Fgfr1/Fez1/Acsl6/Atp1b2/Ntrk2/Qk/Hgf/Gprc5b/Tmem106b/Adamts1/Dmd/Ntrk3/Scarb2/Serpine2/Nfe2l2",20
"GO:0051924","GO:0051924","regulation of calcium ion transport","22/453","247/16051",2.08136070357707e-06,0.000140724835629912,0.000100487375366729,"Bcl2/Dbi/Atp1b1/Atp1a2/Prnp/S100a1/Gem/Adcyap1r1/Gja1/Saraf/Gnao1/Cyba/Gnai2/Hspa2/Tmbim6/Hes1/Pdgfrb/Camk2d/Dmd/Pacsin3/Tgfb2/Usp2",22
"GO:0042445","GO:0042445","hormone metabolic process","16/453","140/16051",2.1457793528622e-06,0.000142946771595085,0.000102073993054884,"Pcsk1n/Slc16a2/Atp1a1/Scp2/Slco1c1/Dkk3/Cpe/Ctsb/Selenom/Ctsl/Dio2/Nr3c1/Tcf7l2/Bmpr1b/Tiparp/Rbp1",16
"GO:0030324","GO:0030324","lung development","19/453","193/16051",2.38124417198726e-06,0.000154071631127856,0.000110017920868107,"Igfbp5/Sox2/Tnc/Hopx/Fgfr1/Dag1/Sparc/Thra/Sox9/Hes1/Pdgfrb/Chil1/Pdpn/Fgfr2/Celsr1/Slc7a11/Foxj1/Klf2/Meg3",19
