"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051983","GO:0051983","regulation of chromosome segregation","28/574","84/23355",1.90323047002863e-24,3.08469691012486e-22,2.36497690995897e-22,"Hnrnpu/Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Kif2c/Rcc2/Tacc3/Cit/Anapc5/Mad2l1/Rad18/Plk1/Bub3/Mki67/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Smc6/Rad21/Ndc80/Cep192",28
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","37/574","171/23355",1.90841766093214e-24,3.08469691012486e-22,2.36497690995897e-22,"Snrpe/Dhx9/Snrpb/Eif2s2/Rbmx/Ptbp2/Psip1/Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Snrpg/Rps5/Rps19/Rpl13a/Rps15/Snrpf/Ptges3/Lsm4/Nudt21/Rps25/Rps27l/Rpsa/Rpl23a/Rpl38/Hsp90aa1/Rpl3/Rpl24/Rps2/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",37
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","45/574","271/23355",2.17007543326356e-24,3.35512532203705e-22,2.57230909480669e-22,"Cenpf/Dtl/Bub1b/Bub1/Ube2c/Cenpe/Anp32b/Cdk5rap2/Clspn/Rpa2/Rcc2/Dbf4/Anapc5/Ezh2/Mad2l1/Ccnd2/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Rps27l/Ttk/Topbp1/Egfr/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Ndc80/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5",45
"GO:0033044","GO:0033044","regulation of chromosome organization","46/574","288/23355",3.59144639893569e-24,5.32132641442305e-22,4.07975709352783e-22,"Sgo2a/Hnrnpu/Parp1/H3f3a/Nek2/Bub1b/Bub1/Ube2c/Cct3/Cenpe/Cdk5rap2/Sfpq/Kdm1a/Tacc3/Hnrnpd/Cit/Anapc5/Mad2l1/Cct7/Mcm2/Trim28/Plk1/Bub3/Fbxo5/Cct2/Gnl3/Dnmt1/Ttk/Cct4/Spdl1/Pttg1/Cenpv/Aurkb/Top2a/Brca1/H3f3b/Birc5/Trip13/Ccnb1/Cct5/Rad21/Tcp1/Ndc80/Cep192/Cdca5/Fen1",46
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","37/574","178/23355",8.58476567911323e-24,1.165140759582e-21,8.93290677673725e-22,"Snrpe/Dhx9/Snrpb/Eif2s2/Rbmx/Ptbp2/Psip1/Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Snrpg/Rps5/Rps19/Rpl13a/Rps15/Snrpf/Ptges3/Lsm4/Nudt21/Rps25/Rps27l/Rpsa/Rpl23a/Rpl38/Hsp90aa1/Rpl3/Rpl24/Rps2/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",37
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","39/574","213/23355",6.97026842926182e-23,8.54699121877759e-21,6.55281133640222e-21,"Mcm3/Ptma/Hjurp/Mcm6/H3f3a/Set/Hat1/Rad51/Anp32e/Cenpe/Pole3/Nasp/Rbbp4/Hp1bp3/Cenps/Cenpa/Cenpc1/Mcm7/Mcm2/Cenpw/Nap1l1/Mcm5/Smarca5/Ctcf/Dlgap5/Supt16/Smarca4/Smarcc1/Npm1/Cenpv/Rpl23/Smarce1/H3f3b/Cenpp/Cenph/Cenpk/Smarcd1/Chaf1a/Hells",39
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","23/574","67/23355",1.20334520287393e-20,1.25855751218226e-18,9.64911478465473e-19,"Hnrnpu/Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",23
"GO:0034502","GO:0034502","protein localization to chromosome","26/574","93/23355",1.38038225371458e-20,1.40246836977401e-18,1.07524512394609e-18,"Bub1b/Knl1/Cct3/Rpa2/Rcc2/Cenpa/Ezh2/Cct7/Plk1/Bub3/Cdk1/Cct2/Ctcf/Gnl3/Esco2/Ttk/Cct4/Spdl1/Aurkb/Haspin/Cct5/Rad21/Tcp1/Cenpq/Ndc80/Cdca5",26
"GO:0065004","GO:0065004","protein-DNA complex assembly","30/574","170/23355",2.03046174375828e-17,1.18365933783679e-15,9.07488510152535e-16,"Mcm3/Hjurp/Mcm6/H3f3a/Set/Hat1/Rad51/Cenpe/Nasp/Rbbp4/Hp1bp3/Cenps/Cenpa/Cenpc1/Mcm7/Mcm2/Cenpw/Nap1l1/Mcm5/Smarca5/Dlgap5/Smarca4/Npm1/Cenpv/H3f3b/Cenpp/Cenph/Cenpk/Chaf1a/Hells",30
"GO:0051052","GO:0051052","regulation of DNA metabolic process","43/574","379/23355",6.80085140767519e-17,3.60952650831238e-15,2.76735351859839e-15,"Nucks1/Dhx9/Hnrnpu/Parp1/Nek2/Rad51/Pcna/Pak3/Cct3/Usp1/Rpa2/Kdm1a/Dnajc2/Nsd2/Hnrnpd/Hmgb1/Rfc3/Cct7/Rad18/Rad51ap1/Foxm1/Trim28/Blm/Rps3/Cct2/Ptges3/Tfdp1/Top2b/Gnl3/Dnmt1/Egfr/Cct4/Npm1/Aurkb/Atad5/Brca1/Dek/Hsp90aa1/Cct5/Rfc4/Tcp1/Hsp90ab1/Kcnq1ot1",43
"GO:0006333","GO:0006333","chromatin assembly or disassembly","29/574","172/23355",2.4960194590611e-16,1.26797788520304e-14,9.72133894581691e-15,"Hjurp/H3f3a/Set/Hat1/Pole3/Nasp/Rbbp4/Hp1bp3/Baz1b/Hmgb1/Mcm2/Trim28/Mbd3/Nap1l1/Smarca5/Ctcf/Supt16/Dnmt1/Smarca4/Smarcc1/Npm1/Cenpv/Chd3/Smarce1/H3f3b/Cenpp/Smarcd1/Chaf1a/Hells",29
"GO:0050000","GO:0050000","chromosome localization","21/574","83/23355",6.57924020613665e-16,3.16159164500296e-14,2.42393060226087e-14,"Nuf2/Hnrnpu/Cenpf/Kif18a/Psrc1/Cenpe/Kif2c/Cdca8/Nudc/Cenpc1/Kif22/Spdl1/Aurkb/Spag5/Kpnb1/Birc5/Ccnb1/Cenpq/Ndc80/Cdca5/Incenp",21
"GO:0051783","GO:0051783","regulation of nuclear division","26/574","142/23355",1.12595147328487e-15,5.19984862207924e-14,3.98662244129573e-14,"Bub1b/Nusap1/Bub1/Cenpe/Cdk5rap2/Cdc20/Ywhah/Anapc5/Mad2l1/Rad51ap1/Plk1/Bub3/Mki67/Fbxo5/Bora/Phip/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192/Kif20b",26
"GO:0016072","GO:0016072","rRNA metabolic process","31/574","216/23355",2.46589099032685e-15,1.08255658785213e-13,8.29975005191235e-14,"Rpl7/Ncl/Rpl7a/Rpl35/Exosc8/Gar1/Chd7/Rps6/Rps8/Rpl11/Lyar/Rpl5/Rps19/Fbl/Rps16/Rps17/Ddx21/Rps15/Pa2g4/Lsm6/Rps24/Rps25/Rpl14/Npm1/Nhp2/Rpl26/Rpl27/Rps7/Rpl35a/Rpl10a/Rps28",31
"GO:0042255","GO:0042255","ribosome assembly","18/574","64/23355",1.03791363118735e-14,4.20970046311021e-13,3.22749517478404e-13,"Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Rps5/Rps19/Rps15/Rps25/Rps27l/Rpsa/C1qbp/Rpl23a/Rpl38/Rpl3/Rpl24/Rps2/Rps28",18
"GO:0051383","GO:0051383","kinetochore organization","12/574","21/23355",1.04177064328937e-14,4.20970046311021e-13,3.22749517478404e-13,"Nuf2/Smc4/Cenpe/Smc2/Cenps/Cenpa/Cenpc1/Cenpw/Dlgap5/Cenph/Cenpk/Ndc80",12
"GO:0000281","GO:0000281","mitotic cytokinesis","18/574","68/23355",3.35034552656972e-14,1.26742858430659e-12,9.71712756306335e-13,"Nusap1/Kif4/Ect2/Stmn1/Cenpa/Cit/Plk1/Ckap2/Anln/Kif23/Myh10/Birc5/Racgap1/Kif20a/Cfl1/Incenp/Kif20b/Cep55",18
"GO:0032200","GO:0032200","telomere organization","23/574","126/23355",5.44450554363981e-14,2.01595378467651e-12,1.545592416764e-12,"Hnrnpu/Parp1/H3f3a/Nek2/Rad51/Pcna/Cct3/Rpa2/Hnrnpd/Cct7/Blm/Cct2/Ptges3/Gnl3/Cct4/Nhp2/Aurkb/H3f3b/Smc6/Hsp90aa1/Cct5/Tcp1/Hsp90ab1",23
"GO:0006403","GO:0006403","RNA localization","26/574","180/23355",3.86074898689052e-13,1.32007917282526e-11,1.01207893482252e-11,"Nop58/Dhx9/Hnrnpu/Ssb/Hnrnpa3/Ybx1/Sfpq/Khdrbs1/Slbp/Ran/Sem1/Fbl/Rps15/Cct2/Thoc7/Cct4/Xpo1/Npm1/Eif5a/Alyref/Eny2/Hnrnpa1/Mrpl18/Tcp1/Srsf3/Srsf7",26
"GO:0006417","GO:0006417","regulation of translation","35/574","350/23355",2.31659864301658e-12,7.55763740785958e-11,5.79429308103615e-11,"Ncl/Dhx9/Caprin1/Rbm3/Rps3a1/Eif4e/Elavl4/Khdrbs1/Hnrnpr/Rpl22/Tyms/Hnrnpd/Rpl5/Rps9/Hnrnpl/Rpl13a/Rps3/Eif4g2/Eef2/Cdk4/Pa2g4/Ilf3/Rplp1/Rps27l/Syncrip/Npm1/Rack1/Rpl26/Eif5a/C1qbp/Rpl38/Sox4/Dhfr/Eif2s1/Gspt1",35
"GO:0031497","GO:0031497","chromatin assembly","23/574","150/23355",2.4889925053902e-12,8.04623395378869e-11,6.16889051575179e-11,"Hjurp/H3f3a/Set/Hat1/Pole3/Nasp/Rbbp4/Hp1bp3/Hmgb1/Mcm2/Trim28/Mbd3/Nap1l1/Smarca5/Ctcf/Dnmt1/Smarca4/Npm1/Cenpv/H3f3b/Cenpp/Chaf1a/Hells",23
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","37/574","409/23355",1.07932737872217e-11,3.30869668856554e-10,2.53671316777715e-10,"Ncl/Dhx9/Caprin1/Rbm3/Rps3a1/Eif4e/Elavl4/Khdrbs1/Hnrnpr/Rpl22/Tyms/Hnrnpd/Rpl5/Rps9/Hnrnpl/Rpl13a/Rps3/Eif4g2/Eef2/Cdk4/Pa2g4/Casp3/Ilf3/Rplp1/Rps27l/Syncrip/Npm1/Rack1/Rpl26/Eif5a/C1qbp/Rpl38/Sox4/Dhfr/Eif2s1/Csnk1e/Gspt1",37
"GO:2001020","GO:2001020","regulation of response to DNA damage stimulus","26/574","221/23355",4.52242292189832e-11,1.28653887282164e-09,9.86364241491929e-10,"Dhx9/Parp1/Rad51/Pcna/Usp1/Rpa2/Kdm1a/Nsd2/Kmt5a/Hmgb1/Rad51ap1/Foxm1/Trim28/Blm/Rps3/Fbxo5/Top2b/Tpt1/Cdkn2d/Egfr/Npm1/Rpl26/Atad5/Brca1/Dek/Hnrnpk",26
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","21/574","153/23355",1.90126485065911e-10,5.08338181123593e-09,3.89732961076936e-09,"Map2/Hnrnpu/Kif18a/Tpx2/Stmn3/Psrc1/Cdk5rap2/Stmn1/Tacc3/Fkbp4/Rps3/Plk1/Ckap2/Ska3/Bora/Spag5/Cdk5r1/Ska2/Ska1/Stmn2/Map1b",21
"GO:0032886","GO:0032886","regulation of microtubule-based process","27/574","255/23355",2.1602095018105e-10,5.73261566301353e-09,4.39508453235601e-09,"Map2/Hnrnpu/Kif18a/Tpx2/Stmn3/Plk4/Psrc1/Cdk5rap2/Stmn1/Tacc3/Fkbp4/Rps3/Plk1/Ckap2/Ska3/Bora/Cep295/Xpo1/Npm1/Spag5/Cdk5r1/Ska2/Kifc1/Cep192/Ska1/Stmn2/Map1b",27
"GO:0050657","GO:0050657","nucleic acid transport","21/574","155/23355",2.43277113017354e-10,6.36098098448317e-09,4.87683995909402e-09,"Dhx9/Hnrnpu/Ssb/Hnrnpa3/Ybx1/Sfpq/Khdrbs1/Slbp/Ran/Sem1/Rps15/Thoc7/Xpo1/Npm1/Eif5a/Alyref/Eny2/Hnrnpa1/Mrpl18/Srsf3/Srsf7",21
"GO:0050658","GO:0050658","RNA transport","21/574","155/23355",2.43277113017354e-10,6.36098098448317e-09,4.87683995909402e-09,"Dhx9/Hnrnpu/Ssb/Hnrnpa3/Ybx1/Sfpq/Khdrbs1/Slbp/Ran/Sem1/Rps15/Thoc7/Xpo1/Npm1/Eif5a/Alyref/Eny2/Hnrnpa1/Mrpl18/Srsf3/Srsf7",21
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","15/574","78/23355",6.30685785690542e-10,1.57937933374336e-08,1.21087930684841e-08,"Ccna2/Psrc1/Cdk5rap2/Cdkn2c/Actb/Ccnd2/Blm/Plk1/Ccnd1/Casp3/Cdkn2d/Ccnb2/Egfr/Ccnb1/Hsp90ab1",15
"GO:0006275","GO:0006275","regulation of DNA replication","17/574","110/23355",1.60327704153375e-09,3.72630925470197e-08,2.85688857074125e-08,"Nucks1/Dhx9/Pcna/Ccna2/Dbf4/Rfc3/E2f8/Blm/Fbxo5/Cdk1/Esco2/Tipin/Egfr/Npm1/Atad5/Gmnn/Rfc4",17
"GO:1904666","GO:1904666","regulation of ubiquitin protein ligase activity","9/574","23/23355",1.84790203363737e-09,4.23944492362224e-08,3.25029967206844e-08,"Cdc20/Rpl11/Rpl5/Mad2l1/Ube2s/Plk1/Fbxo5/Rpl23/Rps7",9
"GO:0006402","GO:0006402","mRNA catabolic process","23/574","220/23355",6.04225967456777e-09,1.31817640507748e-07,1.01062011993093e-07,"Dhx9/Hnrnpu/Ssb/Myef2/Exosc8/Rbm8a/Csde1/Elavl4/Ybx1/Hnrnpr/Hnrnpd/Lsm5/Lsm3/Lsm4/Lsm6/Syncrip/Npm1/Hnrnpa0/Pabpc1/Gspt1/Rnps1/Hnrnpm/Lsm2",23
"GO:1904816","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","7/574","13/23355",7.88423182686445e-09,1.67614498921793e-07,1.28506764610575e-07,"Cct3/Cct7/Cct2/Gnl3/Cct4/Cct5/Tcp1",7
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","20/574","170/23355",7.91879522465165e-09,1.67614498921793e-07,1.28506764610575e-07,"Bok/Parp1/Bub1/Nono/Sfpq/Rpl11/Kdm1a/Rps3/Hdac2/Tpt1/Cdkn2d/Ppia/Rack1/Rpl26/Atad5/Hnrnpk/Rps7/G2e3/Hells/Ubb",20
"GO:0051653","GO:0051653","spindle localization","12/574","56/23355",9.03140437986259e-09,1.88915729263479e-07,1.44838002129066e-07,"Aspm/Sapcd2/Nusap1/Cdk5rap2/Cenpa/Mad2l1/Plk1/Spdl1/Spag5/Kpnb1/Ndc80/Cfl1",12
"GO:0034401","GO:0034401","chromatin organization involved in regulation of transcription","18/574","140/23355",1.08719547861467e-08,2.23472087974206e-07,1.71331687837663e-07,"H3f3a/Hat1/Pole3/Kdm1a/Ezh2/Trim28/Hdac2/Mbd3/Smarca5/Dnmt1/Smarca4/Cenpv/H3f3b/Cdca4/Atad2/Smarcd1/Dpy30/Hells",18
"GO:0051098","GO:0051098","regulation of binding","31/574","396/23355",1.66484707808333e-08,3.32595292677772e-07,2.54994318878524e-07,"Map2/Hjurp/Nucks1/Dhx9/Parp1/Nek2/Aurka/Nfib/Stmn1/Rpl11/Kdm1a/Crmp1/Ran/Actb/Cycs/Trim28/Hnrnpl/Blm/Plk1/Hdac2/Hmgb2/Smarca4/Rack1/Hspa4/Aurkb/Nme1/Hnrnpk/Sox11/Eif2s1/Csnk1e/Hsp90ab1",31
"GO:0009411","GO:0009411","response to UV","18/574","146/23355",2.12020135299402e-08,4.18857556180374e-07,3.21129912529503e-07,"Parp1/Dtl/Pcna/Usp1/Kdm1a/Rad18/Ccnd1/Casp3/Pbk/Cdkn2d/Tipin/Pclaf/Egfr/Npm1/Rpl26/Aurkb/Eif2s1/Hmgn1",18
"GO:0051293","GO:0051293","establishment of spindle localization","11/574","51/23355",3.51113983587907e-08,6.78565937847063e-07,5.20243259435171e-07,"Sapcd2/Nusap1/Cdk5rap2/Cenpa/Mad2l1/Plk1/Spdl1/Spag5/Kpnb1/Ndc80/Cfl1",11
"GO:0006913","GO:0006913","nucleocytoplasmic transport","26/574","307/23355",5.05343894793898e-08,9.45790994677421e-07,7.25119494468806e-07,"Dhx9/Ssb/Ect2/Khdrbs1/Ppp1cc/Ran/Sem1/Trim28/Cdk1/Rps15/Thoc7/Ipo5/Phip/Xpo1/Npm1/Eif5a/Kpnb1/Brca1/Kpna2/E2f3/Hsp90aa1/Eny2/Rangap1/Srsf3/Hsp90ab1/Cfl1",26
"GO:0051169","GO:0051169","nuclear transport","26/574","307/23355",5.05343894793898e-08,9.45790994677421e-07,7.25119494468806e-07,"Dhx9/Ssb/Ect2/Khdrbs1/Ppp1cc/Ran/Sem1/Trim28/Cdk1/Rps15/Thoc7/Ipo5/Phip/Xpo1/Npm1/Eif5a/Kpnb1/Brca1/Kpna2/E2f3/Hsp90aa1/Eny2/Rangap1/Srsf3/Hsp90ab1/Cfl1",26
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","25/574","298/23355",1.09632574192668e-07,1.978951440757e-06,1.51722344193968e-06,"Bok/Parp1/Bub1/Nono/Melk/Sfpq/Rpl11/Kdm1a/Rps3/Hdac2/Casp3/Tpt1/Cdkn2d/Rps27l/Ppia/Rack1/Hint1/Rpl26/Atad5/Brca1/Hnrnpk/Rps7/G2e3/Hells/Ubb",25
