"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu04724","mmu04724","Glutamatergic synapse",9,0.686601620695212,2.11881724302689,0.00080186112713341,0.0142877073561953,0.0112030358432036,101,"tags=56%, list=10%, signal=51%","20511/14645/20512/14681/224997"
"mmu01212","mmu01212","Fatty acid metabolism",10,0.652298850574713,2.10122054120289,0.000920795286331271,0.0150396563434108,0.0117926413863479,373,"tags=100%, list=35%, signal=65%","74205/20250/216739/94180/20280/52538/11430/19063/11363/76267"
"mmu04976","mmu04976","Bile secretion",9,0.680102153934932,2.09876022331258,0.00101331689353122,0.0152777008563168,0.0119792928304095,284,"tags=89%, list=27%, signal=65%","98660/11932/11931/11829/11928/54403/12349/140492"
"mmu03320","mmu03320","PPAR signaling pathway",13,0.598042619456189,2.08108344532133,0.00120220929541287,0.0168309301357802,0.0131971847466375,386,"tags=92%, list=37%, signal=59%","13167/74205/20250/20411/216739/94180/20280/26457/11430/11363/22190/15360"
"mmu04024","mmu04024","cAMP signaling pathway",19,0.515000663908842,2.09840687719386,0.00134096901756485,0.0174675957539838,0.0136963962410399,341,"tags=79%, list=32%, signal=54%","56188/98660/20682/14281/11932/11931/16476/11517/11928/11430/54393/98932/108058/12325/74055"
"mmu04142","mmu04142","Lysosome",15,0.563041385948027,2.08049014263014,0.00142592618399868,0.0174675957539838,0.0136963962410399,469,"tags=100%, list=44%, signal=56%","13039/19156/16783/12512/17775/56464/229445/16784/13030/14667/19063/13033/20661/108012/12492"
"mmu03040","mmu03040","Spliceosome",29,-0.425334910356392,-1.98271990384219,0.00200213391463621,0.0222202588970167,0.0174229742157059,489,"tags=86%, list=46%, signal=48%","108121/76936/13204/68981/76522/20462/56070/78651/67678/19655/20638/66373/20382/51810/68011/20641/50783/225027/27756/20383/21681/20643/229279/69878/15382"
"mmu04972","mmu04972","Pancreatic secretion",7,0.729303192684526,2.03583535913712,0.00205381450279076,0.0222202588970167,0.0174229742157059,217,"tags=86%, list=21%, signal=69%","98660/11932/11931/11928/54403/12349"
"mmu05203","mmu05203","Viral carcinogenesis",17,-0.525707122920755,-2.03621258388827,0.00215400468899652,0.0222202588970167,0.0174229742157059,89,"tags=41%, list=8%, signal=38%","19385/12571/12567/107995/12534/12428/12444"
"mmu01200","mmu01200","Carbon metabolism",10,0.619731800766284,1.99631378877866,0.00261330227733949,0.025610362317927,0.0200811648679771,407,"tags=100%, list=39%, signal=62%","11676/14661/100678/11674/236539/11430/104776/107272/68738/104174"
"mmu04668","mmu04668","TNF signaling pathway",7,0.716024324821855,1.99876766356784,0.00297512918103302,0.0277678723563082,0.021772875209565,133,"tags=71%, list=13%, signal=63%","16477/14281/12702/16476/12608"
"mmu04919","mmu04919","Thyroid hormone signaling pathway",15,0.529911098100946,1.95807065623254,0.00371224040097428,0.0330726872086799,0.0259323970594375,341,"tags=80%, list=32%, signal=55%","98660/11932/11931/58807/18129/13371/11928/56458/18802/20502/21833/74055"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction",8,0.62458563661714,1.84295875030576,0.00440526645173189,0.0367085923322188,0.0287833215923949,329,"tags=88%, list=31%, signal=61%","13609/14400/13618/11517/14815/54393/21833"
"mmu04911","mmu04911","Insulin secretion",9,0.622658731503499,1.92149277989618,0.00463916845334047,0.0367085923322188,0.0287833215923949,340,"tags=89%, list=32%, signal=61%","98660/11932/11931/11517/11928/140492/108058/12325"
"mmu04115","mmu04115","p53 signaling pathway",14,-0.531898257845025,-1.9742507472133,0.00468221840972178,0.0367085923322188,0.0287833215923949,88,"tags=43%, list=8%, signal=40%","12571/12567/12534/20135/268697/12444"
"mmu00071","mmu00071","Fatty acid degradation",7,0.691499522445081,1.93030716544401,0.00489946490008414,0.0369344277083266,0.0289603998142625,330,"tags=100%, list=31%, signal=69%","74205/216739/94180/52538/11430/11669/11363"
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action",5,0.744327757868302,1.83358201552261,0.00530711486517733,0.0374246849023936,0.0293448120072474,88,"tags=60%, list=8%, signal=55%","16477/14281/12702"
"mmu00240","mmu00240","Pyrimidine metabolism",11,-0.559529296183675,-1.88674382078027,0.0053463835574848,0.0374246849023936,0.0293448120072474,139,"tags=55%, list=13%, signal=48%","22171/66422/18102/20133/20135/110074"
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells",11,0.5737673449179,1.90061131433048,0.00591480850931462,0.0399759471664022,0.0313452646954604,399,"tags=91%, list=38%, signal=57%","15903/15904/16600/15902/57265/14182/16195/20674/12167/14183"
"mmu04918","mmu04918","Thyroid hormone synthesis",5,0.731513002842163,1.80201406161941,0.00652887759944059,0.0412793551448502,0.0323672709513863,193,"tags=80%, list=18%, signal=66%","98660/11932/11931/11928"
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption",5,0.731513002842163,1.80201406161941,0.00652887759944059,0.0412793551448502,0.0323672709513863,193,"tags=80%, list=18%, signal=66%","98660/11932/11931/11928"
"mmu04974","mmu04974","Protein digestion and absorption",5,0.730050006483077,1.7984101065278,0.00675795845692253,0.0413924955486505,0.0324559846944306,193,"tags=80%, list=18%, signal=66%","98660/11932/11931/11928"
